scanTs,bssid,ssid,rssi,freq
1782298951510,00:08:2f:b1:89:20,NU,-60,2412
1782298951510,00:08:2f:b1:89:21,NUGuest,-62,2412
1782298951510,00:08:2f:b1:89:23,NU_Devices,-62,2412
1782298951510,00:08:2f:b1:89:25,NU_Campus_WiFi,-64,2412
1782298951510,1c:de:a7:1a:e6:0e,NUGuest,-88,5180
1782298951510,00:08:2f:b1:ea:90,NU,-61,2412
1782298951510,00:08:2f:b1:ea:91,NUGuest,-62,2412
1782298951510,00:08:2f:b1:ea:9e,NUGuest,-54,5180
1782298951510,00:08:2f:b1:ea:9f,NU,-54,5180
1782298951510,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-53,5180
1782298951510,00:08:2f:b1:ea:9c,NU_Devices,-54,5180
1782298951510,00:08:2f:b1:89:2d,Hidden Network,-65,5200
1782298951510,00:08:2f:b1:89:8e,NUGuest,-63,5200
1782298951510,00:08:2f:b1:89:8f,NU,-60,5200
1782298951510,00:08:2f:b1:89:8a,NU_Campus_WiFi,-61,5200
1782298951510,00:08:2f:b1:89:2c,NU_Devices,-65,5200
1782298951510,00:08:2f:b1:89:2a,NU_Campus_WiFi,-67,5200
1782298951510,00:08:2f:b1:89:2e,NUGuest,-66,5200
1782298951510,00:08:2f:b1:89:8c,NU_Devices,-62,5200
1782298951510,00:08:2f:c3:3b:8f,NU,-59,5220
1782298951510,00:08:2f:c3:3b:8e,NUGuest,-59,5220
1782298951510,00:08:2f:c3:3b:8c,NU_Devices,-60,5220
1782298951510,00:08:2f:c3:3b:8a,NU_Campus_WiFi,-60,5220
1782298951510,00:08:2f:c3:9c:fe,NUGuest,-82,5240
1782298951510,00:08:2f:c3:9c:ff,NU,-83,5240
1782298951510,00:08:2f:c3:3f:5f,NU,-69,5240
1782298951510,00:08:2f:c3:3f:5e,NUGuest,-69,5240
1782298951510,00:08:2f:c3:3f:5a,NU_Campus_WiFi,-68,5240
1782298951510,00:08:2f:c3:3f:5c,NU_Devices,-69,5240
1782298951510,00:08:2f:c3:9c:fc,NU_Devices,-82,5240
1782298951510,00:08:2f:c3:9c:fa,NU_Campus_WiFi,-82,5240
1782298951510,00:08:2f:c3:3b:80,NU,-62,2437
1782298951510,00:08:2f:c3:3b:81,NUGuest,-63,2437
1782298951510,00:08:2f:c3:3b:83,NU_Devices,-62,2437
1782298951510,00:08:2f:c3:3b:85,NU_Campus_WiFi,-62,2437
1782298951510,00:08:2f:c3:96:2d,Hidden Network,-89,5300
1782298951510,00:08:2f:c3:96:2e,NUGuest,-90,5300
1782298951510,00:08:2f:b1:89:81,NUGuest,-68,2462
1782298951510,00:08:2f:b1:89:85,NU_Campus_WiFi,-69,2462
1782298951510,00:08:2f:c3:96:2c,NU_Devices,-90,5300
1782298951510,00:08:2f:c3:3f:50,NU,-69,2462
1782298951510,00:08:2f:b1:89:83,NU_Devices,-58,2462
1782298951510,00:08:2f:b1:89:80,NU,-68,2462
1782298951510,00:08:2f:c3:96:2a,NU_Campus_WiFi,-90,5300
1782298951510,00:08:2f:c3:96:2f,NU,-90,5300
1782298956527,00:08:2f:b1:ea:9e,NUGuest,-44,5180
1782298956527,00:08:2f:b1:ea:90,NU,-56,2412
1782298956527,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-44,5180
