scanTs,bssid,ssid,rssi,freq
1782299685825,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-45,5180
1782299685825,00:08:2f:b1:ea:9c,NU_Devices,-46,5180
1782299685825,00:08:2f:b1:ea:9f,NU,-46,5180
1782299685825,00:08:2f:b1:ea:90,NU,-49,2412
1782299685825,00:08:2f:b1:ea:91,NUGuest,-51,2412
1782299685825,00:08:2f:b1:ea:9e,NUGuest,-45,5180
1782299685825,00:08:2f:b1:ea:93,NU_Devices,-54,2412
1782299685825,00:08:2f:b1:89:2e,NUGuest,-81,5200
1782299685825,00:08:2f:b1:89:2f,NU,-81,5200
1782299685825,00:08:2f:b1:89:2c,NU_Devices,-81,5200
1782299685825,00:08:2f:b1:89:2a,NU_Campus_WiFi,-77,5200
1782299685825,00:08:2f:c3:3b:8d,Hidden Network,-90,5220
1782299685825,00:08:2f:c3:3f:5c,NU_Devices,-91,5240
1782299685825,00:08:2f:c3:3f:5a,NU_Campus_WiFi,-90,5240
1782299685825,00:08:2f:c3:96:2f,NU,-91,5300
1782299685825,00:08:2f:c3:96:2d,Hidden Network,-89,5300
1782299685825,00:08:2f:c3:96:2e,NUGuest,-91,5300
1782299685825,00:08:2f:c3:96:2c,NU_Devices,-90,5300
1782299685825,00:08:2f:c3:96:2a,NU_Campus_WiFi,-91,5300
1782299690801,34:b8:83:b6:c6:a0,NU_Devices,-52,2412
1782299690801,00:08:2f:b1:ea:9f,NU,-88,5180
1782299690801,1c:de:a7:1a:e6:0f,NU,-88,5180
1782299690801,34:b8:83:b6:c6:a1,NU,-49,2412
1782299690801,1c:de:a7:1a:e6:0e,NUGuest,-88,5180
1782299690801,1c:de:a7:1a:e6:0c,NU_Devices,-89,5180
1782299690801,34:b8:83:b6:c6:a3,NUGuest,-47,2412
1782299690801,34:b8:83:b6:c6:a4,NU_Campus_WiFi,-49,2412
1782299690801,1c:de:a7:1a:e6:0a,NU_Campus_WiFi,-90,5180
1782299690801,00:08:2f:b1:ea:92,Hidden Network,-81,2412
1782299690801,c2:15:96:42:c3:9a,MiraiTech_5G,-90,5180
1782299690801,d4:c9:3c:db:34:0e,NU,-68,5200
1782299690801,d4:c9:3c:db:34:0f,NUGuest,-68,5200
1782299690801,d4:c9:3c:db:34:0b,NU_Campus_WiFi,-68,5200
1782299690801,d4:c9:3c:db:34:0d,NU_Devices,-68,5200
1782299690801,00:08:2f:c3:3b:8f,NU,-50,5220
1782299690801,00:08:2f:c3:3b:8a,NU_Campus_WiFi,-50,5220
1782299690801,00:08:2f:c3:3b:8c,NU_Devices,-50,5220
1782299690801,00:08:2f:c3:3b:8e,NUGuest,-51,5220
1782299690801,00:08:2f:c3:3b:8d,Hidden Network,-50,5220
1782299690801,00:08:2f:c3:3f:5e,NUGuest,-82,5240
1782299690801,00:08:2f:c3:3f:5f,NU,-82,5240
1782299690801,00:08:2f:c3:3f:5a,NU_Campus_WiFi,-83,5240
1782299690801,00:08:2f:c3:3f:5c,NU_Devices,-78,5240
1782299690801,00:08:2f:c3:3b:80,NU,-47,2437
1782299690801,00:08:2f:c3:3b:83,NU_Devices,-47,2437
1782299690801,00:08:2f:c3:3b:85,NU_Campus_WiFi,-46,2437
1782299690801,00:08:2f:c3:3b:81,NUGuest,-43,2437
1782299690801,00:08:2f:fb:68:bc,NU_Devices,-90,5280
1782299690801,00:08:2f:fb:68:ba,NU_Campus_WiFi,-89,5280
1782299690801,c2:15:96:42:c3:92,MiraiTech,-77,2452
1782299690801,00:08:2f:fb:68:bf,NU,-91,5280
1782299690801,00:08:2f:fb:68:bd,Hidden Network,-91,5280
1782299690801,d4:c9:3c:db:34:01,NU,-56,2462
1782299690801,d4:c9:3c:db:34:02,NU_Devices,-53,2462
1782299690801,d4:c9:3c:db:34:04,NU_Campus_WiFi,-53,2462
1782299690801,00:08:2f:c3:3f:51,NUGuest,-78,2462
1782299690801,d4:c9:3c:db:34:00,NUGuest,-53,2462
1782299690801,34:b8:83:b6:c6:af,NU_Devices,-68,5320
1782299690801,34:b8:83:b6:c6:ae,NU,-68,5320
1782299690801,34:b8:83:b6:c6:ac,NUGuest,-68,5320
1782299690801,34:b8:83:b6:c6:ab,NU_Campus_WiFi,-68,5320
1782299695800,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-90,5180
1782299695800,34:b8:83:b6:c6:a0,NU_Devices,-67,2412
