scanTs,bssid,ssid,rssi,freq
1782299864616,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-43,5180
1782299864616,00:08:2f:b1:ea:9c,NU_Devices,-43,5180
1782299864616,00:08:2f:b1:ea:9e,NUGuest,-43,5180
1782299864616,00:08:2f:b1:ea:9f,NU,-45,5180
1782299864616,00:08:2f:b1:89:20,NU,-77,2412
1782299864616,00:08:2f:b1:89:2e,NUGuest,-85,5200
1782299864616,00:08:2f:b1:89:2c,NU_Devices,-85,5200
1782299864616,00:08:2f:c3:3f:5d,Hidden Network,-90,5240
1782299864616,00:08:2f:c3:3f:5e,NUGuest,-87,5240
1782299864616,48:22:54:f8:91:97,IoTlab_Public,-80,2427
1782299864616,00:08:2f:c3:96:21,NUGuest,-79,2437
1782299864616,00:08:2f:c3:3b:82,Hidden Network,-82,2437
1782299864616,00:08:2f:c3:43:65,NU_Campus_WiFi,-78,2462
1782299864616,00:08:2f:c3:43:60,NU,-76,2462
1782299864616,00:08:2f:c3:43:61,NUGuest,-77,2462
1782299864616,00:08:2f:c3:43:63,NU_Devices,-79,2462
1782299864616,00:08:2f:c3:96:2f,NU,-89,5300
1782299864616,00:08:2f:c3:96:2e,NUGuest,-87,5300
1782299864616,00:08:2f:c3:96:2c,NU_Devices,-87,5300
1782299864616,00:08:2f:c3:96:2a,NU_Campus_WiFi,-87,5300
1782299864616,00:08:2f:c3:96:2d,Hidden Network,-86,5300
1782299869634,00:08:2f:b1:89:20,NU,-33,2412
1782299869634,00:08:2f:b1:89:21,NUGuest,-33,2412
1782299869634,00:08:2f:b1:89:23,NU_Devices,-33,2412
1782299869634,00:08:2f:b1:89:25,NU_Campus_WiFi,-47,2412
1782299869634,00:08:2f:b1:ea:9f,NU,-67,5180
1782299869634,00:08:2f:b1:ea:9e,NUGuest,-67,5180
1782299869634,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-67,5180
1782299869634,00:08:2f:b1:ea:9c,NU_Devices,-67,5180
1782299869634,1c:de:a7:1a:e6:0e,NUGuest,-85,5180
1782299869634,1c:de:a7:1a:e6:0c,NU_Devices,-85,5180
1782299869634,1c:de:a7:1a:e6:0a,NU_Campus_WiFi,-85,5180
1782299869634,bc:67:1c:e4:fd:ce,NUGuest,-82,5200
1782299869634,00:08:2f:b1:89:2f,NU,-44,5200
1782299869634,00:08:2f:b1:89:2c,NU_Devices,-44,5200
1782299869634,00:08:2f:b1:89:2e,NUGuest,-44,5200
1782299869634,00:08:2f:b1:89:8c,NU_Devices,-60,5200
1782299869634,00:08:2f:b1:89:8a,NU_Campus_WiFi,-61,5200
1782299869634,00:08:2f:b1:89:8e,NUGuest,-60,5200
1782299869634,bc:67:1c:e4:fd:ca,NU_Campus_WiFi,-82,5200
1782299869634,bc:67:1c:e4:fd:cc,NU_Devices,-82,5200
1782299869634,00:08:2f:b1:89:2a,NU_Campus_WiFi,-44,5200
1782299869634,00:08:2f:b1:89:8f,NU,-60,5200
1782299869634,00:08:2f:c3:3b:8f,NU,-84,5220
