scanTs,bssid,ssid,rssi,freq
1782299775697,00:08:2f:b1:89:21,NUGuest,-38,2412
1782299775697,00:08:2f:b1:ea:90,NU,-77,2412
1782299775697,00:08:2f:b1:ea:9e,NUGuest,-84,5180
1782299775697,00:08:2f:b1:ea:9f,NU,-84,5180
1782299775697,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-84,5180
1782299775697,00:08:2f:b1:ea:9c,NU_Devices,-84,5180
1782299775697,00:08:2f:b1:89:8c,NU_Devices,-82,5200
1782299775697,00:08:2f:b1:89:2e,NUGuest,-33,5200
1782299775697,00:08:2f:b1:89:2f,NU,-34,5200
1782299775697,00:08:2f:b1:89:2a,NU_Campus_WiFi,-33,5200
1782299775697,00:08:2f:b1:89:8a,NU_Campus_WiFi,-85,5200
1782299775697,00:08:2f:b1:89:2c,NU_Devices,-34,5200
1782299775697,00:08:2f:c3:3f:5d,Hidden Network,-90,5240
1782299775697,00:08:2f:c3:3f:5e,NUGuest,-91,5240
1782299780709,00:08:2f:b1:ea:95,NU_Campus_WiFi,-62,2412
1782299780709,00:08:2f:b1:89:20,NU,-56,2412
1782299780709,00:08:2f:b1:ea:90,NU,-62,2412
1782299780709,1c:de:a7:1a:e6:0e,NUGuest,-86,5180
1782299780709,00:08:2f:b1:ea:91,NUGuest,-65,2412
1782299780709,00:08:2f:b1:89:22,Hidden Network,-57,2412
1782299780709,00:08:2f:b1:89:21,NUGuest,-57,2412
1782299780709,00:08:2f:b1:89:23,NU_Devices,-57,2412
1782299780709,00:08:2f:b1:ea:9f,NU,-63,5180
1782299780709,00:08:2f:b1:ea:9c,NU_Devices,-63,5180
1782299780709,00:08:2f:b1:ea:9e,NUGuest,-63,5180
1782299780709,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-63,5180
1782299780709,86:cc:a8:87:91:4d,LU110029,-67,2412
1782299780709,00:08:2f:b1:90:0f,NU,-90,5200
1782299780709,00:08:2f:b1:89:8f,NU,-51,5200
1782299780709,00:08:2f:b1:89:8e,NUGuest,-51,5200
1782299780709,00:08:2f:b1:89:2e,NUGuest,-63,5200
1782299780709,00:08:2f:b1:89:8c,NU_Devices,-51,5200
1782299780709,00:08:2f:b1:89:8a,NU_Campus_WiFi,-51,5200
1782299780709,00:08:2f:b1:89:2f,NU,-64,5200
1782299780709,00:08:2f:b1:89:2c,NU_Devices,-64,5200
1782299780709,00:08:2f:b1:89:2a,NU_Campus_WiFi,-65,5200
1782299780709,00:08:2f:b1:90:0d,Hidden Network,-89,5200
1782299780709,00:08:2f:c3:3b:8c,NU_Devices,-86,5220
1782299780709,00:08:2f:c3:3b:8a,NU_Campus_WiFi,-86,5220
1782299780709,00:08:2f:c3:9c:ff,NU,-82,5240
1782299780709,00:08:2f:c3:3f:5d,Hidden Network,-78,5240
1782299780709,00:08:2f:c3:3f:5f,NU,-77,5240
1782299780709,00:08:2f:c3:3f:5e,NUGuest,-78,5240
1782299780709,00:08:2f:c3:3f:5c,NU_Devices,-78,5240
1782299780709,00:08:2f:c3:3f:5a,NU_Campus_WiFi,-77,5240
1782299780709,00:08:2f:c3:9c:fe,NUGuest,-84,5240
1782299780709,00:08:2f:c3:9c:fc,NU_Devices,-82,5240
1782299780709,00:08:2f:c3:9c:fa,NU_Campus_WiFi,-83,5240
1782299780709,f8:1a:67:8f:f6:36,Bridge,-75,2427
1782299780709,bc:67:1c:e4:fd:c0,NU,-75,2437
1782299780709,bc:67:1c:e4:fd:c1,NUGuest,-76,2437
1782299780709,bc:67:1c:e4:fd:c3,NU_Devices,-73,2437
1782299780709,00:08:2f:b1:90:7e,NUGuest,-93,5260
1782299780709,00:08:2f:b1:90:7c,NU_Devices,-93,5260
1782299780709,00:08:2f:b1:90:7a,NU_Campus_WiFi,-90,5260
1782299780709,00:08:2f:c3:3f:52,Hidden Network,-77,2462
1782299780709,00:08:2f:b1:89:85,NU_Campus_WiFi,-60,2462
1782299780709,00:08:2f:b1:89:80,NU,-61,2462
1782299780709,00:08:2f:b1:89:81,NUGuest,-61,2462
1782299780709,00:08:2f:b1:89:83,NU_Devices,-61,2462
1782299780709,00:08:2f:c3:3f:51,NUGuest,-77,2462
1782299785710,1c:de:a7:1a:e6:0d,Hidden Network,-80,5180
1782299785710,00:08:2f:b1:ea:9f,NU,-72,5180
1782299785710,00:08:2f:b1:ea:9e,NUGuest,-74,5180
1782299785710,1c:de:a7:1a:e6:0c,NU_Devices,-78,5180
1782299785710,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-73,5180
1782299785710,86:cc:a8:87:91:4d,LU110029,-61,2412
1782299785710,00:08:2f:b1:89:20,NU,-66,2412
1782299785710,00:08:2f:b1:ea:9c,NU_Devices,-77,5180
1782299785710,00:08:2f:b1:89:21,NUGuest,-69,2412
1782299785710,00:08:2f:b1:89:23,NU_Devices,-69,2412
1782299785710,1c:de:a7:1a:e6:0f,NU,-77,5180
1782299785710,86:cc:a8:85:eb:67,LU110031,-64,2412
1782299785710,1c:de:a7:1a:e6:0e,NUGuest,-77,5180
1782299785710,1c:de:a7:1a:e6:0a,NU_Campus_WiFi,-74,5180
1782299785710,00:08:2f:b1:90:0a,NU_Campus_WiFi,-88,5200
1782299785710,00:08:2f:b1:89:8e,NUGuest,-85,5200
1782299785710,00:08:2f:b1:89:2f,NU,-68,5200
1782299785710,00:08:2f:b1:89:2c,NU_Devices,-68,5200
1782299785710,00:08:2f:b1:89:2e,NUGuest,-68,5200
1782299785710,00:08:2f:b1:89:2a,NU_Campus_WiFi,-68,5200
1782299785710,bc:67:1c:e4:fd:ca,NU_Campus_WiFi,-76,5200
1782299785710,bc:67:1c:e4:fd:cc,NU_Devices,-75,5200
1782299785710,bc:67:1c:e4:fd:ce,NUGuest,-76,5200
1782299785710,00:08:2f:c3:36:ce,NUGuest,-89,5200
1782299785710,00:08:2f:c3:3b:8e,NUGuest,-88,5220
1782299785710,00:08:2f:c3:3b:8c,NU_Devices,-85,5220
1782299785710,00:08:2f:c3:3b:8a,NU_Campus_WiFi,-86,5220
1782299785710,00:08:2f:c3:3f:5f,NU,-64,5240
1782299785710,00:08:2f:c3:3f:5e,NUGuest,-64,5240
1782299785710,00:08:2f:c3:3f:5c,NU_Devices,-64,5240
1782299785710,00:08:2f:c3:9c:fc,NU_Devices,-75,5240
1782299785710,00:08:2f:c3:3f:5a,NU_Campus_WiFi,-64,5240
1782299785710,00:08:2f:c3:9c:fe,NUGuest,-75,5240
1782299785710,00:08:2f:c3:9c:fa,NU_Campus_WiFi,-75,5240
1782299785710,00:08:2f:c3:9c:ff,NU,-76,5240
1782299785710,00:08:2f:c3:3f:5d,Hidden Network,-64,5240
1782299785710,00:08:2f:c3:3b:80,NU,-77,2437
1782299785710,1c:de:a7:1a:e6:01,NUGuest,-73,2437
1782299785710,00:08:2f:c3:96:2e,NUGuest,-91,5300
