scanTs,bssid,ssid,rssi,freq
1782300052340,00:08:2f:b1:ea:90,NU,-72,2412
1782300052340,1c:de:a7:1a:e6:0c,NU_Devices,-90,5180
1782300052340,00:08:2f:b1:89:20,NU,-70,2412
1782300052340,00:08:2f:b1:ea:91,NUGuest,-70,2412
1782300052340,00:08:2f:b1:89:21,NUGuest,-70,2412
1782300052340,00:08:2f:b1:ea:9e,NUGuest,-60,5180
1782300052340,00:08:2f:b1:ea:9f,NU,-60,5180
1782300052340,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-60,5180
1782300052340,00:08:2f:b1:ea:9c,NU_Devices,-59,5180
1782300052340,1c:de:a7:1a:e6:0a,NU_Campus_WiFi,-92,5180
1782300052340,00:08:2f:b1:89:2f,NU,-79,5200
1782300052340,00:08:2f:b1:89:2e,NUGuest,-79,5200
1782300052340,00:08:2f:b1:89:8e,NUGuest,-53,5200
1782300052340,00:08:2f:b1:89:8f,NU,-54,5200
1782300052340,00:08:2f:b1:89:8a,NU_Campus_WiFi,-53,5200
1782300052340,00:08:2f:b1:89:8c,NU_Devices,-54,5200
1782300052340,00:08:2f:b1:89:2c,NU_Devices,-80,5200
1782300052340,00:08:2f:b1:89:2a,NU_Campus_WiFi,-81,5200
1782300052340,00:08:2f:c3:3b:8a,NU_Campus_WiFi,-89,5220
1782300052340,00:08:2f:c3:3f:5e,NUGuest,-91,5240
1782300052340,bc:67:1c:e4:fd:c0,NU,-72,2437
1782300052340,bc:67:1c:e4:fd:c1,NUGuest,-71,2437
1782300052340,bc:67:1c:e4:fd:c5,NU_Campus_WiFi,-70,2437
1782300052340,bc:67:1c:e4:fd:c3,NU_Devices,-68,2437
1782300052340,f4:f2:6d:4d:50:2a,TP-LINK_502A,-75,2457
1782300052340,00:08:2f:b1:89:80,NU,-63,2462
1782300052340,00:08:2f:b1:89:81,NUGuest,-65,2462
1782300052340,00:08:2f:b1:89:83,NU_Devices,-69,2462
1782300052340,00:08:2f:b1:89:85,NU_Campus_WiFi,-64,2462
1782300057341,6c:99:89:a0:25:05,NU_Campus_WiFi,-64,2412
1782300057341,6c:99:89:a0:25:0e,NUGuest,-65,5180
1782300057341,00:08:2f:c3:36:c1,NUGuest,-58,2412
1782300057341,6c:99:89:a0:25:0f,NU,-64,5180
1782300057341,6c:99:89:a0:25:0c,NU_Devices,-65,5180
1782300057341,1c:de:a7:1a:e6:0e,NUGuest,-72,5180
1782300057341,1c:de:a7:1a:e6:0a,NU_Campus_WiFi,-72,5180
1782300057341,1c:de:a7:1a:e6:0c,NU_Devices,-72,5180
1782300057341,6c:99:89:a0:25:00,NU,-63,2412
1782300057341,00:08:2f:c3:36:c0,NU,-59,2412
1782300057341,6c:99:89:a0:25:0a,NU_Campus_WiFi,-65,5180
1782300057341,00:08:2f:c3:36:c3,NU_Devices,-66,2412
1782300057341,1c:de:a7:1a:e6:0f,NU,-72,5180
1782300057341,00:08:2f:c3:36:c5,NU_Campus_WiFi,-60,2412
1782300057341,6c:99:89:a0:25:01,NUGuest,-65,2412
1782300057341,00:08:2f:b1:89:8f,NU,-83,5200
1782300057341,00:08:2f:c3:36:ce,NUGuest,-59,5200
1782300057341,00:08:2f:c3:36:cc,NU_Devices,-59,5200
1782300057341,00:08:2f:c3:36:ca,NU_Campus_WiFi,-59,5200
1782300057341,00:08:2f:b1:89:8e,NUGuest,-83,5200
1782300057341,00:08:2f:b1:89:8c,NU_Devices,-82,5200
1782300057341,00:08:2f:b1:89:8a,NU_Campus_WiFi,-82,5200
1782300057341,00:08:2f:c3:36:cf,NU,-60,5200
1782300057341,00:08:2f:c3:3f:5e,NUGuest,-78,5240
1782300057341,00:08:2f:c3:3f:5f,NU,-79,5240
1782300057341,00:08:2f:c3:3f:5a,NU_Campus_WiFi,-78,5240
1782300057341,00:08:2f:c3:3f:5c,NU_Devices,-78,5240
1782300057341,1c:de:a7:1a:e6:00,NU,-78,2437
1782300057341,00:08:2f:32:73:c5,NU_Campus_WiFi,-71,2437
1782300057341,00:08:2f:b1:90:70,NU,-76,2437
1782300057341,b2:db:79:f1:4a:c0,iPhone (Айнур),-73,2437
1782300057341,00:08:2f:32:73:c0,NU,-73,2437
1782300057341,00:08:2f:b1:90:7f,NU,-76,5260
1782300057341,00:08:2f:b1:90:7e,NUGuest,-75,5260
1782300057341,00:08:2f:b1:90:7c,NU_Devices,-76,5260
1782300057341,00:08:2f:b1:90:7a,NU_Campus_WiFi,-75,5260
1782300057341,00:08:2f:b1:90:7d,Hidden Network,-76,5260
1782300057341,00:08:2f:32:73:cc,NU_Devices,-90,5280
1782300057341,00:08:2f:32:73:ca,NU_Campus_WiFi,-89,5280
1782300057341,00:08:2f:32:73:cf,NU,-91,5280
1782300057341,00:08:2f:32:73:ce,NUGuest,-91,5280
1782300057341,00:08:2f:c3:3f:50,NU,-75,2462
1782300057341,00:08:2f:c3:3f:51,NUGuest,-73,2462
1782300057341,00:08:2f:c3:3f:53,NU_Devices,-75,2462
1782300057341,00:08:2f:c3:3f:55,NU_Campus_WiFi,-74,2462
1782300057341,c4:6e:1f:08:f9:79,OpenWrt-5G,-85,5300
1782300057341,00:08:2f:c3:9b:3f,NU,-87,5320
1782300057341,00:08:2f:c3:9b:3d,Hidden Network,-88,5320
1782300057341,00:08:2f:c3:9b:3e,NUGuest,-86,5320
1782300057341,00:08:2f:c3:9b:3c,NU_Devices,-85,5320
1782300057341,00:08:2f:c3:9b:3a,NU_Campus_WiFi,-85,5320
1782300062332,1c:de:a7:1a:e6:0c,NU_Devices,-87,5180
1782300062332,00:08:2f:b1:ea:9f,NU,-85,5180
1782300062332,00:08:2f:c3:36:c5,NU_Campus_WiFi,-66,2412
1782300062332,6c:99:89:a0:25:05,NU_Campus_WiFi,-58,2412
1782300062332,6c:99:89:a0:25:0f,NU,-67,5180
1782300062332,6c:99:89:a0:25:0e,NUGuest,-67,5180
1782300062332,6c:99:89:a0:25:00,NU,-58,2412
1782300062332,6c:99:89:a0:25:0c,NU_Devices,-67,5180
1782300062332,6c:99:89:a0:25:01,NUGuest,-57,2412
1782300062332,ea:db:84:c6:14:65,LU109603,-66,2412
1782300062332,6c:99:89:a0:25:0a,NU_Campus_WiFi,-68,5180
1782300062332,00:08:2f:c3:36:c0,NU,-63,2412
1782300062332,00:08:2f:b1:ea:9d,Hidden Network,-84,5180
1782300062332,00:08:2f:c3:36:cf,NU,-67,5200
1782300062332,00:08:2f:c3:36:ce,NUGuest,-66,5200
1782300062332,00:08:2f:b1:89:8e,NUGuest,-76,5200
1782300062332,00:08:2f:c3:36:cc,NU_Devices,-66,5200
1782300062332,00:08:2f:c3:36:ca,NU_Campus_WiFi,-67,5200
1782300062332,00:08:2f:b1:89:8f,NU,-76,5200
1782300062332,00:08:2f:b1:89:8c,NU_Devices,-76,5200
1782300062332,00:08:2f:b1:89:8a,NU_Campus_WiFi,-76,5200
1782300062332,4a:22:54:d8:93:da,Hidden Network,-87,5220
1782300062332,00:08:2f:b1:90:75,NU_Campus_WiFi,-70,2437
1782300062332,00:08:2f:32:73:c0,NU,-75,2437
1782300062332,92:32:b1:a4:36:24,Hidden Network,-80,2442
1782300062332,92:32:b1:a4:36:25,Robot_2bgn,-81,2442
1782300062332,00:08:2f:b1:90:7e,NUGuest,-71,5260
1782300062332,00:08:2f:b1:90:7f,NU,-71,5260
1782300062332,00:08:2f:b1:90:7c,NU_Devices,-71,5260
1782300062332,00:08:2f:b1:90:7a,NU_Campus_WiFi,-71,5260
1782300062332,00:08:2f:b1:90:7d,Hidden Network,-70,5260
1782300062332,00:08:2f:b1:89:85,NU_Campus_WiFi,-72,2462
1782300062332,00:08:2f:b1:89:80,NU,-74,2462
1782300062332,00:08:2f:c3:9b:3d,Hidden Network,-82,5320
1782300062332,00:08:2f:c3:9b:3c,NU_Devices,-82,5320
1782300062332,00:08:2f:c3:9b:3f,NU,-81,5320
1782300062332,00:08:2f:c3:9b:3a,NU_Campus_WiFi,-80,5320
1782300062332,00:08:2f:c3:9b:3e,NUGuest,-82,5320
1782300067327,00:08:2f:c3:36:c0,NU,-69,2412
1782300067327,00:08:2f:c3:36:c1,NUGuest,-70,2412
1782300067327,00:08:2f:b1:ea:9f,NU,-74,5180
1782300067327,00:08:2f:c3:36:c3,NU_Devices,-69,2412
1782300067327,1c:de:a7:1a:e6:0a,NU_Campus_WiFi,-91,5180
1782300067327,6c:99:89:a0:25:0f,NU,-71,5180
1782300067327,6c:99:89:a0:25:0e,NUGuest,-69,5180
1782300067327,6c:99:89:a0:25:0c,NU_Devices,-71,5180
1782300067327,6c:99:89:a0:25:0a,NU_Campus_WiFi,-71,5180
1782300067327,00:08:2f:c3:36:c5,NU_Campus_WiFi,-68,2412
1782300067327,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-74,5180
1782300067327,00:08:2f:b1:ea:9c,NU_Devices,-74,5180
1782300067327,00:08:2f:b1:ea:9e,NUGuest,-74,5180
1782300067327,00:08:2f:b1:89:8f,NU,-54,5200
1782300067327,00:08:2f:b1:89:8c,NU_Devices,-56,5200
1782300067327,00:08:2f:b1:89:8e,NUGuest,-55,5200
1782300067327,00:08:2f:c3:36:ce,NUGuest,-77,5200
1782300067327,00:08:2f:b1:89:8a,NU_Campus_WiFi,-55,5200
1782300067327,00:08:2f:c3:36:cc,NU_Devices,-76,5200
1782300067327,00:08:2f:c3:36:ca,NU_Campus_WiFi,-76,5200
1782300067327,c2:b5:d7:7f:d8:12,DIRECT-12-HP M281 LaserJet,-76,2437
1782300067327,00:08:2f:b1:90:73,NU_Devices,-66,2437
1782300067327,00:08:2f:b1:90:75,NU_Campus_WiFi,-67,2437
1782300067327,b2:db:79:f1:4a:c0,iPhone (Айнур),-78,2437
1782300067327,00:08:2f:b1:90:7d,Hidden Network,-66,5260
1782300067327,00:08:2f:b1:90:7e,NUGuest,-65,5260
1782300067327,00:08:2f:b1:90:7c,NU_Devices,-65,5260
1782300067327,00:08:2f:b1:90:7a,NU_Campus_WiFi,-64,5260
1782300067327,00:08:2f:b1:90:7f,NU,-66,5260
1782300067327,00:08:2f:b1:89:83,NU_Devices,-66,2462
1782300067327,00:08:2f:b1:89:85,NU_Campus_WiFi,-67,2462
1782300067327,00:08:2f:c3:9b:30,NU,-78,2462
1782300067327,00:08:2f:c3:9b:31,NUGuest,-79,2462
1782300067327,00:08:2f:c3:9b:3f,NU,-85,5320
1782300067327,00:08:2f:c3:9b:3a,NU_Campus_WiFi,-85,5320
1782300067327,00:08:2f:c3:9b:3c,NU_Devices,-86,5320
1782300067327,00:08:2f:c3:9b:3d,Hidden Network,-86,5320
1782300067327,00:08:2f:c3:9b:3e,NUGuest,-87,5320
1782300072328,6c:99:89:a0:25:0d,Hidden Network,-86,5180
1782300072328,00:08:2f:b1:89:22,Hidden Network,-82,2412
1782300072328,00:08:2f:b1:ea:9f,NU,-75,5180
1782300072328,00:08:2f:b1:ea:9c,NU_Devices,-74,5180
1782300072328,00:08:2f:b1:ea:9e,NUGuest,-74,5180
1782300072328,00:08:2f:c3:36:c0,NU,-76,2412
1782300072328,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-75,5180
1782300072328,6c:99:89:a0:25:00,NU,-79,2412
1782300072328,6c:99:89:a0:25:0e,NUGuest,-84,5180
1782300072328,00:08:2f:b1:ea:90,NU,-71,2412
1782300072328,00:08:2f:b1:89:2e,NUGuest,-86,5200
1782300072328,00:08:2f:b1:89:8e,NUGuest,-56,5200
1782300072328,00:08:2f:b1:89:8f,NU,-56,5200
1782300072328,00:08:2f:b1:89:8a,NU_Campus_WiFi,-56,5200
1782300072328,00:08:2f:c3:36:cc,NU_Devices,-86,5200
1782300072328,00:08:2f:c3:36:ca,NU_Campus_WiFi,-88,5200
1782300072328,00:08:2f:c3:36:ce,NUGuest,-87,5200
1782300072328,00:08:2f:b1:89:8c,NU_Devices,-57,5200
1782300072328,c2:b5:d7:7f:d8:12,DIRECT-12-HP M281 LaserJet,-69,2437
1782300072328,00:08:2f:b1:90:71,NUGuest,-63,2437
1782300072328,1c:de:a7:1a:e6:03,NU_Devices,-79,2437
1782300072328,b2:db:79:f1:4a:c0,iPhone (Айнур),-81,2437
1782300072328,00:08:2f:b1:90:73,NU_Devices,-62,2437
1782300072328,00:08:2f:b1:90:7d,Hidden Network,-70,5260
1782300072328,00:08:2f:b1:90:7e,NUGuest,-71,5260
1782300072328,00:08:2f:b1:90:7c,NU_Devices,-71,5260
1782300072328,00:08:2f:b1:90:7a,NU_Campus_WiFi,-73,5260
1782300072328,00:08:2f:b1:90:7f,NU,-71,5260
1782300072328,bc:67:1c:e8:bf:61,NUGuest,-77,2462
1782300072328,00:08:2f:b1:89:80,NU,-67,2462
1782300072328,00:08:2f:b1:89:81,NUGuest,-68,2462
1782300072328,00:08:2f:b1:89:83,NU_Devices,-67,2462
1782300072328,00:08:2f:b1:89:85,NU_Campus_WiFi,-67,2462
1782300072328,c4:6e:1f:08:f9:79,OpenWrt-5G,-92,5300
1782300072328,00:08:2f:c3:9b:3e,NUGuest,-93,5320
1782300072328,00:08:2f:c3:9b:3a,NU_Campus_WiFi,-90,5320
1782300072328,00:08:2f:c3:9b:3f,NU,-90,5320
1782300072328,00:08:2f:c3:9b:3d,Hidden Network,-93,5320
1782300077325,c4:6e:1f:08:f9:78,OpenWrt,-75,2412
1782300077325,00:08:2f:b1:89:a0,NU,-72,2412
1782300077325,00:08:2f:c3:36:c0,NU,-79,2412
1782300077325,00:08:2f:b1:ea:95,NU_Campus_WiFi,-73,2412
1782300077325,1c:de:a7:1a:e6:0e,NUGuest,-91,5180
1782300077325,00:08:2f:c3:36:c1,NUGuest,-80,2412
1782300077325,00:08:2f:b1:ea:9f,NU,-70,5180
1782300077325,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-70,5180
1782300077325,00:08:2f:b1:ea:9c,NU_Devices,-70,5180
1782300077325,00:08:2f:b1:ea:9e,NUGuest,-71,5180
1782300077325,00:08:2f:b1:89:2d,Hidden Network,-85,5200
1782300077325,00:08:2f:b1:89:8e,NUGuest,-55,5200
1782300077325,00:08:2f:b1:89:8f,NU,-56,5200
1782300077325,00:08:2f:b1:89:8a,NU_Campus_WiFi,-56,5200
1782300077325,00:08:2f:b1:89:2e,NUGuest,-86,5200
1782300077325,00:08:2f:b1:89:8c,NU_Devices,-58,5200
1782300077325,00:08:2f:b1:90:70,NU,-67,2437
1782300077325,00:08:2f:b1:90:73,NU_Devices,-65,2437
1782300077325,00:08:2f:b1:90:75,NU_Campus_WiFi,-65,2437
1782300077325,c2:b5:d7:7f:d8:12,DIRECT-12-HP M281 LaserJet,-69,2437
1782300077325,00:08:2f:b1:90:71,NUGuest,-66,2437
1782300077325,1c:de:a7:1a:e6:03,NU_Devices,-79,2437
1782300077325,00:08:2f:b1:90:7d,Hidden Network,-69,5260
1782300077325,00:08:2f:b1:90:7e,NUGuest,-66,5260
1782300077325,00:08:2f:b1:90:7f,NU,-67,5260
1782300077325,00:08:2f:b1:90:7c,NU_Devices,-66,5260
1782300077325,00:08:2f:b1:90:7a,NU_Campus_WiFi,-67,5260
1782300077325,00:08:2f:b1:89:81,NUGuest,-65,2462
1782300077325,00:08:2f:b1:89:83,NU_Devices,-62,2462
1782300077325,00:08:2f:b1:89:85,NU_Campus_WiFi,-61,2462
1782300077325,00:08:2f:b1:89:80,NU,-60,2462
1782300082328,00:08:2f:b1:ea:9f,NU,-66,5180
1782300082328,00:08:2f:b1:ea:9e,NUGuest,-66,5180
1782300082328,00:08:2f:b1:ea:9c,NU_Devices,-65,5180
1782300082328,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-66,5180
1782300082328,00:08:2f:b1:89:a5,NU_Campus_WiFi,-80,2412
1782300082328,00:08:2f:b1:89:20,NU,-77,2412
1782300082328,00:08:2f:b1:ea:93,NU_Devices,-73,2412
1782300082328,00:08:2f:b1:89:8d,Hidden Network,-44,5200
1782300082328,00:08:2f:b1:89:2d,Hidden Network,-84,5200
1782300082328,00:08:2f:b1:89:8f,NU,-45,5200
1782300082328,00:08:2f:b1:89:8c,NU_Devices,-45,5200
1782300082328,00:08:2f:b1:89:8a,NU_Campus_WiFi,-45,5200
1782300082328,00:08:2f:b1:89:8e,NUGuest,-46,5200
1782300082328,1c:de:a7:1a:e6:00,NU,-72,2437
1782300082328,1c:de:a7:1a:e6:01,NUGuest,-66,2437
1782300082328,1c:de:a7:1a:e6:03,NU_Devices,-78,2437
