scanTs,bssid,ssid,rssi,freq
1782299596437,00:08:2f:b1:ea:90,NU,-41,2412
1782299596437,00:08:2f:b1:ea:91,NUGuest,-43,2412
1782299596437,00:08:2f:b1:ea:93,NU_Devices,-40,2412
1782299596437,00:08:2f:b1:89:20,NU,-78,2412
1782299596437,00:08:2f:b1:ea:95,NU_Campus_WiFi,-43,2412
1782299596437,00:08:2f:b1:89:21,NUGuest,-78,2412
1782299596437,00:08:2f:b1:89:23,NU_Devices,-78,2412
1782299596437,00:08:2f:b1:89:25,NU_Campus_WiFi,-79,2412
1782299596437,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-35,5180
1782299596437,00:08:2f:b1:ea:9c,NU_Devices,-35,5180
1782299596437,00:08:2f:b1:ea:9e,NUGuest,-35,5180
1782299596437,00:08:2f:b1:ea:9f,NU,-35,5180
1782299596437,00:08:2f:b1:89:2c,NU_Devices,-84,5200
1782299596437,00:08:2f:b1:89:8e,NUGuest,-76,5200
1782299596437,00:08:2f:b1:89:8f,NU,-76,5200
1782299596437,00:08:2f:b1:89:8a,NU_Campus_WiFi,-75,5200
1782299596437,00:08:2f:b1:89:8c,NU_Devices,-76,5200
1782299596437,00:08:2f:b1:89:2a,NU_Campus_WiFi,-83,5200
1782299596437,00:08:2f:c3:3f:5f,NU,-85,5240
1782299596437,00:08:2f:c3:3f:5a,NU_Campus_WiFi,-87,5240
1782299596437,00:08:2f:c3:3f:5c,NU_Devices,-86,5240
1782299596437,00:08:2f:c3:3f:5e,NUGuest,-87,5240
1782299596437,00:08:2f:c3:96:2e,NUGuest,-89,5300
1782299596437,00:08:2f:c3:96:2c,NU_Devices,-88,5300
1782299596437,00:08:2f:c3:3f:55,NU_Campus_WiFi,-74,2462
1782299596437,00:08:2f:c3:96:2a,NU_Campus_WiFi,-90,5300
1782299596437,00:08:2f:c3:3f:50,NU,-76,2462
1782299596437,00:08:2f:c3:3f:53,NU_Devices,-74,2462
1782299596437,00:08:2f:c3:3f:51,NUGuest,-75,2462
1782299596437,00:08:2f:c3:96:2f,NU,-88,5300
1782299596437,00:08:2f:c3:96:2d,Hidden Network,-90,5300
1782299601420,00:08:2f:b1:89:25,NU_Campus_WiFi,-80,2412
1782299601420,00:08:2f:b1:ea:90,NU,-75,2412
1782299601420,1c:de:a7:1a:e6:0e,NUGuest,-73,5180
1782299601420,1c:de:a7:1a:e6:0a,NU_Campus_WiFi,-71,5180
1782299601420,00:08:2f:b1:ea:91,NUGuest,-78,2412
1782299601420,1c:de:a7:1a:e6:0c,NU_Devices,-71,5180
1782299601420,1c:de:a7:1a:e6:0f,NU,-70,5180
1782299601420,00:08:2f:b1:ea:9c,NU_Devices,-80,5180
1782299601420,00:08:2f:b1:ea:9e,NUGuest,-79,5180
1782299601420,1c:de:a7:1a:e6:0d,Hidden Network,-72,5180
1782299601420,00:08:2f:c3:36:c0,NU,-72,2412
1782299601420,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-79,5180
1782299601420,6c:99:89:a0:25:02,Hidden Network,-80,2412
1782299601420,00:08:2f:c3:36:c1,NUGuest,-74,2412
1782299601420,00:08:2f:c3:36:c3,NU_Devices,-68,2412
1782299601420,00:08:2f:c3:36:cd,Hidden Network,-76,5200
1782299601420,00:08:2f:c3:36:cf,NU,-75,5200
1782299601420,00:08:2f:c3:36:ce,NUGuest,-75,5200
1782299601420,00:08:2f:b1:89:2e,NUGuest,-84,5200
